clase,precision,recall,threshold,average_precision
Insatisfecho,0.3043963658761934,1.0,0.0,0.9834567096227447
Insatisfecho,0.5053687843538285,1.0,0.01,0.9834567096227447
Insatisfecho,0.5553838589590504,1.0,0.02,0.9834567096227447
Insatisfecho,0.5891207153502236,0.9998735297837359,0.03,0.9834567096227447
Insatisfecho,0.6140105622864244,0.9998735297837359,0.04,0.9834567096227447
Insatisfecho,0.6351438213080508,0.9997470595674719,0.05,0.9834567096227447
Insatisfecho,0.6533597818001488,0.9997470595674719,0.06,0.9834567096227447
Insatisfecho,0.6673138612189768,0.9997470595674719,0.07,0.9834567096227447
Insatisfecho,0.6810270549715665,0.9996205893512078,0.08,0.9834567096227447
Insatisfecho,0.6937933456237381,0.9994941191349437,0.09,0.9834567096227447
Insatisfecho,0.7045920641997325,0.9993676489186797,0.1,0.9834567096227447
Insatisfecho,0.7156312262271327,0.9993676489186797,0.11,0.9834567096227447
Insatisfecho,0.7245712189305695,0.9991147084861515,0.12,0.9834567096227447
Insatisfecho,0.7351079672375279,0.9988617680536234,0.13,0.9834567096227447
Insatisfecho,0.7424783753290711,0.9987352978373593,0.14,0.9834567096227447
Insatisfecho,0.7500949848024316,0.9987352978373593,0.15,0.9834567096227447
Insatisfecho,0.7592539178925103,0.9987352978373593,0.16,0.9834567096227447
Insatisfecho,0.7669063350174893,0.998229416972303,0.17,0.9834567096227447
Insatisfecho,0.7742030407062286,0.998229416972303,0.18,0.9834567096227447
Insatisfecho,0.7807026224641267,0.9977235361072467,0.19,0.9834567096227447
Insatisfecho,0.7883211678832117,0.9970911850259264,0.2,0.9834567096227447
Insatisfecho,0.7949157671744175,0.9965853041608701,0.21,0.9834567096227447
Insatisfecho,0.8014451455322613,0.9959529530795498,0.22,0.9834567096227447
Insatisfecho,0.8053677525097316,0.9943088402681168,0.23,0.9834567096227447
Insatisfecho,0.8110228093714522,0.9938029594030606,0.24,0.9834567096227447
Insatisfecho,0.8174338679441783,0.992664727456684,0.25,0.9834567096227447
Insatisfecho,0.8228073856483424,0.9919059061590996,0.26,0.9834567096227447
Insatisfecho,0.8296970980724423,0.9907676742127229,0.27,0.9834567096227447
Insatisfecho,0.8356486428724086,0.9889970911850259,0.28,0.9834567096227447
Insatisfecho,0.8409041980624328,0.9879853294549134,0.29,0.9834567096227447
